Filename,ID,Category,Name,Cilia SA,Cilia Points,Cilia Points/Area,Islands,Noise_Points,MaxRadius,Aspect,Circularity,Elliptical Tendency,SurfaceArea,Cilia/Body Ratio,Polarity,Cilia Distribution Homogeneity,DeviationFromNormal,Note-Body,Note-Cilia,Keep
LinearMovers_2_23_2_26.lif,4,Straight,226Bot1,20677.10657,3510,0.076685699,203,2066,36.7677952,1.3612514,0.3826463,0.3215837,45771.24623,0.4517488,0.1043405,0.4145299,0.5854701,OK,OK,TRUE
LinearMovers_2_4_2_10.lif,2,Straight,Bot209,2904.514292,10139,0.216397864,439,877,31.91897756,1.19974756,0.21204404,0.35480776,46853.51243,0.06199139,0.12649208,0.31442943,0.68557057,OK,OK,TRUE
LinearMovers_2_4_2_10.lif,3,Straight,Bot210,2911.67612,11717,0.077608146,375,627,59.05816337,1.33396583,0.31475066,0.24709973,150976.42,0.01928563,0.33977146,0.0483604,0.9516396,OK,OK,TRUE
LinearMovers_2_4_2_10.lif,0,Straight,Bot204,8206.79237,7098,0.169317893,345,685,37.0842198,1.6314981,0.637611,0.207336,41921.14538,0.1957674,0.2860099,0.3206537,0.6793463,OK,OK,TRUE
Batch7_P1Nonmovers_Bots1_22,0,Nonmover,Bot1_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_FIXABLE,TWOBOT_FIXABLE,FALSE
Batch7_P1Nonmovers_Bots1_22,1,Nonmover,Bot3,4746.335776,1066,0.053211614,37,572,29.7724747,1.3817319,0.3756355,0.6950758,20033.22074,0.2369233,0.1004118,0.446527,0.553473,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots1_22,2,Nonmover,Bot4,2040.708578,969,0.080170563,51,437,22.314508,1.2782327,0.2703929,0.7037796,12086.73065,0.1688388,0.0839483,0.3439716,0.6560284,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots1_22,3,Nonmover,Bot5_6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_FIXABLE,TWOBOT_FIXABLE,FALSE
Batch7_P1Nonmovers_Bots1_22,4,Nonmover,Bot7_8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_FIXABLE,TWOBOT_FIXABLE,FALSE
Batch7_P1Nonmovers_Bots1_22,5,Nonmover,Bot9,5688.278935,3869,0.14387424,144,243,24.916325,1.2565632,0.2916507,0.2898382,26891.54076,0.2115267,0.463537,0.2446285,0.7553715,OK,OK,TRUE
Batch7_P1Nonmovers_Bots1_22,6,Nonmover,Bot10,3561.940395,2645,0.096988857,118,293,26.8866945,1.2580449,0.2716911,0.5302415,27271.174,0.1306119,0.278849,0.2387938,0.7612062,OK,OK,TRUE
Batch7_P1Nonmovers_Bots1_22,7,Nonmover,Bot11_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_FIXABLE,TWOBOT_FIXABLE,FALSE
Batch7_P1Nonmovers_Bots1_22,8,Nonmover,Bot13,2123.779429,301,0.0273404,5,170,21.7830652,1.4082709,0.3853536,0.7504572,11009.34882,0.1929069,0.1333278,0.5246637,0.4753363,OK,OK,TRUE
Batch7_P1Nonmovers_Bots1_22,9,Nonmover,Bot14_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_FIXABLE,TWOBOT_FIXABLE,FALSE
Batch7_P1Nonmovers_Bots1_22,10,Nonmover,Bot16,1456.356363,609,0.061891328,27,237,21.0848459,1.3517864,0.3995865,0.7249007,9839.827588,0.1480063,0.2190432,0.3596674,0.6403326,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots1_22,11,Nonmover,Bot17_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TWOBOT_FIXABLE,TWOBOT_FIXABLE,FALSE
Batch7_P1Nonmovers_Bots1_22,12,Nonmover,Bot19,3762.612387,963,0.050435993,32,550,27.3662227,1.2612421,0.2511462,0.703722,19093.50726,0.1970624,0.1114078,0.3890306,0.6109694,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots1_22,13,Nonmover,Bot20,3963.801172,495,0.036320281,16,345,24.0700191,1.3673599,0.3695724,0.6715368,13628.74919,0.2908412,0.4494748,0.5398633,0.4601367,OK,OVEREXPOSED_FIXED,TRUE
Batch7_P1Nonmovers_Bots1_22,14,Nonmover,Bot21,2655.679889,1467,0.123413614,129,545,21.206715,1.2944152,0.3237932,0.7187939,11886.85714,0.2234131,0.1395124,0.3224536,0.6775464,OK,OVEREXPOSED_FIXED,TRUE
