Filename,ID,Category,Name,Cilia SA,Cilia Points,Cilia Points/Area,Islands,Noise_Points,MaxRadius,Aspect,Circularity,Elliptical Tendency,SurfaceArea,Cilia/Body Ratio,Polarity,Cilia Distribution Homogeneity,DeviationFromNormal,Eqn,Note-Body,Note-Cilia,Keep
P2Movers_Week1_Well2_Bots1_21,11,Mover,Bot14,1368.994438,702,0.04111966,44,255,28.11267849,1.5675896,0.58433228,0.57000968,17072.126,0.08018887,0.30612641,0.24903723,0.75096277,(x-y)>(18.5),TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week1_Well2_Bots1_21,11,Mover,Bot15,5615.742229,4602,0.1012275,129,244,33.3110038,1.245869,0.2669881,0.2522782,45461.97389,0.1235261,0.4997693,0.1707267,0.8292733,(x-y)<(18.5),TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week2_Well1,0,Mover,Bot1,4386.267745,3177,0.2594608,125,419,21.9812437,1.3379643,0.3507195,0.7364009,12244.62549,0.3582198,0.2364509,0.397929,0.602071,(x-y)<(-5),TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week2_Well1,0,Mover,Bot2,1164.919259,41,0.001205319,0,42,24.63843402,1.153353257,0.166689802,0.125774027,34015.88131,0.034246335,0.436687674,0.19047619,0.80952381,(x-y)>(-5)&(y-x)>(-105),NOT_BRIGHT,NOT_BRIGHT,FALSE
P2Movers_Week2_Well1,5,Mover,Bot7,6979.066284,5430,0.115166,186,511,32.3383539,1.26974,0.2804823,0.1731687,47149.32135,0.1480205,0.3171248,0.2489754,0.7510246,(x-y)<(-5),TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week2_Well1,5,Mover,Bot8,1600.041608,245,0.01255932,8,193,30.02885124,1.4604515,0.51132783,0.57764637,19507.43066,0.08202216,0.47931607,0.35271318,0.64728682,(x-y)>(-5),NOT_BRIGHT,NOT_BRIGHT,FALSE
P2Movers_Week2_Well1,15,Mover,Bot18,6183.091147,3770,0.08398601,185,618,33.4643572,1.22818035,0.2634647,0.43023826,44888.42611,0.13774355,0.30088954,0.27915822,0.72084178,(x-y)<(0),TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week2_Well1,15,Mover,Bot19,1719.978809,382,0.006495801,21,184,38.19850191,1.254839697,0.26197473,0.364325103,58807.21997,0.029247749,0.579392111,0.132169576,0.867830424,(x-y)>(5),NOT_BRIGHT,NOT_BRIGHT,FALSE
P2Movers_Week2_Well1,21,Mover,Bot25,2875.592773,1885,0.09120484,105,341,23.88914948,1.22642964,0.25026013,0.44471409,20667.76198,0.13913421,0.19709522,0.30847286,0.69152714,(x-y)<(0),TWOBOT_FIXED,TWOBOT_FIXED,TRUE
P2Movers_Week2_Well1,21,Mover,Bot26,716.607594,248,0.01360482,14,135,20.52405978,1.15465607,0.17750045,0.40904177,18228.82863,0.03931177,0.47411082,0.21969697,0.78030303,(x-y)>(0),NOT_BRIGHT,NOT_BRIGHT,FALSE
P2Movers_Week2_Well1,28,Mover,Bot33,3676.891126,1906,0.05197441,114,358,27.45461238,1.0911791,0.09112675,0.32952237,36671.8946,0.10026455,0.31682327,0.21938023,0.78061977,(x+y)>(180),TWOBOT_FIXED,TWOBOT_FIXED,TRUE
